Depth (m),EDC3_gas_a (yr),CO2 (ppmv),sigma (ppmv),station,uni
3026.58,611269,257.8,2.1,moesm31,University of Bern
3030.97,616164,252.6,0.6,moesm31,University of Bern
3036.44,623109,243.3,2.8,moesm31,University of Bern
3040.87,630183,204.4,0.9,moesm31,University of Bern
3043.07,635364,195.0,1.5,moesm31,University of Bern
3055.18,658404,187.5,1.8,moesm31,University of Bern
3056.25,659983,185.6,1.1,moesm31,University of Bern
3057.36,661563,192.1,1.0,moesm31,University of Bern
3058.47,663133,192.0,2.1,moesm31,University of Bern
3059.55,664597,190.6,1.3,moesm31,University of Bern
3060.33,665645,178.2,1.1,moesm31,University of Bern
3060.73,666174,178.5,1.1,moesm31,University of Bern
3061.36,666995,172.7,1.0,moesm31,University of Bern
3061.82,667569,171.6,1.4,moesm31,University of Bern
3062.53,668447,175.6,0.7,moesm31,University of Bern
3062.93,668934,178.5,0.7,moesm31,University of Bern
3063.64,669751,185.5,0.2,moesm31,University of Bern
3064.02,670176,189.3,0.9,moesm31,University of Bern
3064.76,670916,192.6,1.0,moesm31,University of Bern
3065.12,671286,194.6,0.7,moesm31,University of Bern
3065.76,671926,192.5,0.6,moesm31,University of Bern
3066.22,672386,194.8,1.0,moesm31,University of Bern
3066.93,673095,198.7,1.0,moesm31,University of Bern
3067.33,673475,202.3,0.7,moesm31,University of Bern
3068.07,674173,209.2,0.6,moesm31,University of Bern
3068.42,674521,213.7,0.8,moesm31,University of Bern
3069.52,675589,220.0,0.8,moesm31,University of Bern
3070.16,676170,217.4,0.6,moesm31,University of Bern
3070.62,676524,214.0,0.9,moesm31,University of Bern
3071.33,677068,215.6,1.4,moesm31,University of Bern
3071.72,677380,217.4,1.5,moesm31,University of Bern
3072.44,677984,226.5,0.8,moesm31,University of Bern
3072.80,678291,230.0,0.9,moesm31,University of Bern
3073.53,678914,230.8,0.6,moesm31,University of Bern
3073.93,679252,230.3,1.2,moesm31,University of Bern
3074.56,679732,223.0,1.2,moesm31,University of Bern
