Depth (m),EDC3_gas_a (yr),"Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma (ppmv),station,uni
3026.58,611269.0, ,257.8,2.1,moesm31,University of Bern
3030.97,616164.0, ,252.6,0.6,moesm31,University of Bern
3036.44,623109.0, ,243.3,2.8,moesm31,University of Bern
3040.87,630183.0, ,204.4,0.9,moesm31,University of Bern
3043.07,635364.0, ,195.0,1.5,moesm31,University of Bern
3055.18,658404.0, ,187.5,1.8,moesm31,University of Bern
3056.25,659983.0, ,185.6,1.1,moesm31,University of Bern
3057.36,661563.0, ,192.1,1.0,moesm31,University of Bern
3058.47,663133.0, ,192.0,2.1,moesm31,University of Bern
3059.55,664597.0, ,190.6,1.3,moesm31,University of Bern
3060.33,665645.0, ,178.2,1.1,moesm31,University of Bern
3060.73,666174.0, ,178.5,1.1,moesm31,University of Bern
3061.36,666995.0, ,172.7,1.0,moesm31,University of Bern
3061.82,667569.0, ,171.6,1.4,moesm31,University of Bern
3062.53,668447.0, ,175.6,0.7,moesm31,University of Bern
3062.93,668934.0, ,178.5,0.7,moesm31,University of Bern
3063.64,669751.0, ,185.5,0.2,moesm31,University of Bern
3064.02,670176.0, ,189.3,0.9,moesm31,University of Bern
3064.76,670916.0, ,192.6,1.0,moesm31,University of Bern
3065.12,671286.0, ,194.6,0.7,moesm31,University of Bern
3065.76,671926.0, ,192.5,0.6,moesm31,University of Bern
3066.22,672386.0, ,194.8,1.0,moesm31,University of Bern
3066.93,673095.0, ,198.7,1.0,moesm31,University of Bern
3067.33,673475.0, ,202.3,0.7,moesm31,University of Bern
3068.07,674173.0, ,209.2,0.6,moesm31,University of Bern
3068.42,674521.0, ,213.7,0.8,moesm31,University of Bern
3069.52,675589.0, ,220.0,0.8,moesm31,University of Bern
3070.16,676170.0, ,217.4,0.6,moesm31,University of Bern
3070.62,676524.0, ,214.0,0.9,moesm31,University of Bern
3071.33,677068.0, ,215.6,1.4,moesm31,University of Bern
3071.72,677380.0, ,217.4,1.5,moesm31,University of Bern
3072.44,677984.0, ,226.5,0.8,moesm31,University of Bern
3072.8,678291.0, ,230.0,0.9,moesm31,University of Bern
3073.53,678914.0, ,230.8,0.6,moesm31,University of Bern
3073.93,679252.0, ,230.3,1.2,moesm31,University of Bern
3074.56,679732.0, ,223.0,1.2,moesm31,University of Bern
3075.02,680081.0, ,225.0,1.3,moesm31,University of Bern
3075.73,680608.0, ,218.4,0.9,moesm31,University of Bern
3076.13,680920.0, ,216.2,1.0,moesm31,University of Bern
3076.85,681531.0, ,217.3,1.7,moesm31,University of Bern
3077.23,681849.0, ,219.7,0.6,moesm31,University of Bern
3077.93,682446.0, ,222.6,1.6,moesm31,University of Bern
3078.32,682762.0, ,221.3,1.3,moesm31,University of Bern
3078.96,683262.0, ,218.7,0.8,moesm31,University of Bern
