Depth (m),"Gasage (EDC3, yr BP)","Gasage (AICC2012, yr BP)",CO2 (ppmv),sigma mean CO2 (ppmv),station,uni
1454.86,104735.0,104331.23,238.88,1.55,EDC (105-155 kyr BP),University of Bern
1460.3,105368.0,104966.45,242.36,NAN,EDC (105-155 kyr BP),University of Bern
1465.85,106005.0,105507.15,248.78,9.96,EDC (105-155 kyr BP),University of Bern
1471.41,106565.0,105989.87,257.58,4.20,EDC (105-155 kyr BP),University of Bern
1476.01,107069.0,106256.38,241.4,NAN,EDC (105-155 kyr BP),University of Bern
1477.01,107181.0,106368.25,244.83,3.05,EDC (105-155 kyr BP),University of Bern
1482.3,107820.0,106974.82,240.34,NAN,EDC (105-155 kyr BP),University of Bern
1493.3,109315.0,108401.91,236.43,NAN,EDC (105-155 kyr BP),University of Bern
1499.09,110033.0,109129.42,244.44,1.58,EDC (105-155 kyr BP),University of Bern
1504.3,110672.0,109839.97,244.13,NAN,EDC (105-155 kyr BP),University of Bern
1510.2,111366.0,110555.36,246.69,NAN,EDC (105-155 kyr BP),University of Bern
1521.18,112678.0,111876.8,257.93,2.94,EDC (105-155 kyr BP),University of Bern
1526.65,113323.0,112636.06,256.79,NAN,EDC (105-155 kyr BP),University of Bern
1529.5,113644.0,112941.73,263.12,NAN,EDC (105-155 kyr BP),University of Bern
1531.3,113835.0,113119.27,264.75,3.64,EDC (105-155 kyr BP),University of Bern
1536.75,114404.0,113678.64,260.58,NAN,EDC (105-155 kyr BP),University of Bern
1542.25,114955.0,114250.0,267.9,NAN,EDC (105-155 kyr BP),University of Bern
1547.75,115491.0,114815.39,275.07,NAN,EDC (105-155 kyr BP),University of Bern
1553.89,116087.0,115446.67,276.96,1.63,EDC (105-155 kyr BP),University of Bern
1558.75,116552.0,115908.58,273.16,NAN,EDC (105-155 kyr BP),University of Bern
1564.25,117043.0,116475.58,273.63,NAN,EDC (105-155 kyr BP),University of Bern
1573.0,117814.0,117185.55,274.03,NAN,EDC (105-155 kyr BP),University of Bern
1578.45,118263.0,117619.36,274.98,4.03,EDC (105-155 kyr BP),University of Bern
1597.25,119798.0,119242.52,267.74,NAN,EDC (105-155 kyr BP),University of Bern
1602.8,120238.0,119715.5,274.59,1.30,EDC (105-155 kyr BP),University of Bern
1608.25,120674.0,120144.12,268.73,NAN,EDC (105-155 kyr BP),University of Bern
1613.75,121082.0,120542.91,276.82,NAN,EDC (105-155 kyr BP),University of Bern
1624.8,121910.0,121426.02,279.48,2.26,EDC (105-155 kyr BP),University of Bern
1630.25,122320.0,121841.97,276.61,NAN,EDC (105-155 kyr BP),University of Bern
1633.38,122548.0,122100.0,278.25,3.40,EDC (105-155 kyr BP),University of Bern
1635.75,122725.0,122292.36,279.0,NAN,EDC (105-155 kyr BP),University of Bern
1644.5,123385.0,123013.95,279.16,NAN,EDC (105-155 kyr BP),University of Bern
1652.3,123965.0,123630.91,274.6,6.56,EDC (105-155 kyr BP),University of Bern
1657.75,124346.0,123959.48,275.87,NAN,EDC (105-155 kyr BP),University of Bern
1663.25,124785.0,124404.52,281.54,NAN,EDC (105-155 kyr BP),University of Bern
1668.75,125187.0,124817.45,275.52,NAN,EDC (105-155 kyr BP),University of Bern
1674.3,125598.0,125292.63,276.81,2.78,EDC (105-155 kyr BP),University of Bern
1682.53,126231.0,126013.7,275.15,NAN,EDC (105-155 kyr BP),University of Bern
1690.75,126823.0,126699.91,273.02,NAN,EDC (105-155 kyr BP),University of Bern
1695.25,127119.0,126962.03,274.93,NAN,EDC (105-155 kyr BP),University of Bern
1699.66,127429.0,127313.83,275.78,NAN,EDC (105-155 kyr BP),University of Bern
1702.25,127595.0,127503.55,276.88,3.83,EDC (105-155 kyr BP),University of Bern
1710.49,128107.0,128024.48,276.03,0.28,EDC (105-155 kyr BP),University of Bern
1713.25,128268.0,128172.67,280.72,NAN,EDC (105-155 kyr BP),University of Bern
1718.25,128553.0,128466.73,285.76,NAN,EDC (105-155 kyr BP),University of Bern
1724.25,128919.0,128878.0,271.08,NAN,EDC (105-155 kyr BP),University of Bern
1726.99,129095.0,129078.04,268.44,1.92,EDC (105-155 kyr BP),University of Bern
1735.2,129624.0,129655.64,260.61,3.45,EDC (105-155 kyr BP),University of Bern
1745.75,130369.0,130373.03,251.84,NAN,EDC (105-155 kyr BP),University of Bern
1751.25,130829.0,130818.36,250.84,NAN,EDC (105-155 kyr BP),University of Bern
1756.81,131309.0,131322.2,241.13,1.89,EDC (105-155 kyr BP),University of Bern
1762.25,131851.0,131976.24,232.28,NAN,EDC (105-155 kyr BP),University of Bern
1768.75,132598.0,132709.88,228.0,NAN,EDC (105-155 kyr BP),University of Bern
1770.53,132813.0,132931.96,224.63,NAN,EDC (105-155 kyr BP),University of Bern
1776.94,133661.0,133775.81,222.74,NAN,EDC (105-155 kyr BP),University of Bern
1782.04,134390.0,134522.28,212.43,NAN,EDC (105-155 kyr BP),University of Bern
1799.46,137498.0,137763.42,199.18,NAN,EDC (105-155 kyr BP),University of Bern
1804.63,138462.0,138834.3,198.55,1.08,EDC (105-155 kyr BP),University of Bern
1809.58,139426.0,139949.97,192.75,0.19,EDC (105-155 kyr BP),University of Bern
1820.67,141658.0,142360.56,196.51,0.95,EDC (105-155 kyr BP),University of Bern
1826.39,142758.0,143651.3,194.59,NAN,EDC (105-155 kyr BP),University of Bern
1831.73,143818.0,144799.59,196.02,NAN,EDC (105-155 kyr BP),University of Bern
1837.39,144907.0,146108.24,193.59,0.64,EDC (105-155 kyr BP),University of Bern
1848.03,146954.0,148233.47,195.81,4.05,EDC (105-155 kyr BP),University of Bern
1853.91,148111.0,149466.15,201.78,NAN,EDC (105-155 kyr BP),University of Bern
1859.38,149174.0,150594.88,202.51,NAN,EDC (105-155 kyr BP),University of Bern
1864.56,150137.0,151444.85,202.35,1.86,EDC (105-155 kyr BP),University of Bern
1875.9,152324.0,153774.66,198.78,1.73,EDC (105-155 kyr BP),University of Bern
1881.07,153346.0,154889.13,196.3,NAN,EDC (105-155 kyr BP),University of Bern
1886.95,154543.0,156306.82,189.38,NAN,EDC (105-155 kyr BP),University of Bern
